14:21.3	42.20761	116.7523	-37.54064	-5.720478	0	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
14:21.3	42.20039	116.7573	-27.5707	-10.69409	0	5	内蒙古自治区    	锡林郭勒盟     	多伦县       
14:21.3	42.2107	116.7464	-15.04546	-6.877925	0	2	内蒙古自治区    	锡林郭勒盟     	多伦县       
14:34.8	40.56781	116.2744	83.9333	7.899605	69.86337	6	北京市       	北京市县      	延庆县       
15:38.6	40.12857	116.182	35.78626	9.543002	42.53651	6	北京市       	北京市市辖区    	北京市市辖区    
15:59.1	42.23285	116.7536	-10.88386	-4.097452	0	2	内蒙古自治区    	锡林郭勒盟     	多伦县       
15:59.9	42.2263	116.7543	-65.58358	-8.394698	69.22437	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
16:01.7	41.23172	116.0525	47.67983	8.5958	55.63231	6	河北省       	张家口市      	赤城县       
16:30.2	40.26765	116.2814	75.6869	10.76436	55.63231	6	北京市       	北京市县      	昌平县       
17:05.7	40.5094	116.3621	58.12911	7.832133	226.5135	6	北京市       	北京市县      	延庆县       
17:19.2	40.29078	116.2177	55.17578	9.054486	69.96915	6	北京市       	北京市县      	昌平县       
17:31.6	39.96189	116.3625	68.72042	13.12868	42.64075	6	北京市       	北京市市辖区    	北京市市辖区    
17:32.8	39.90347	116.1859	46.0149	5.774419	70.11641	6	北京市       	北京市市辖区    	北京市市辖区    
17:39.8	41.08342	116.2213	75.21712	7.131698	172.0844	6	河北省       	张家口市      	赤城县       
17:39.8	41.05154	116.2092	68.87405	5.956675	0	5	河北省       	张家口市      	赤城县       
17:42.6	41.37232	111.543	-69.68161	-14.86541	0	5	内蒙古自治区    	乌兰察布盟     	四子王旗      
17:54.3	40.20268	116.2514	46.61702	9.040877	70.00254	6	北京市       	北京市县      	昌平县       
18:24.0	40.80851	116.3233	226.8654	25.03342	69.77154	6	河北省       	张家口市      	赤城县       
18:24.8	40.19033	116.0448	89.34402	13.61433	42.49777	6	北京市       	北京市县      	昌平县       
18:24.8	40.19538	116.053	74.5882	11.1015	70.00551	6	北京市       	北京市县      	昌平县       
18:39.2	40.15463	116.1747	97.7542	20.51236	0	5	北京市       	北京市县      	昌平县       
18:39.2	40.17521	116.1947	143.0801	17.60986	70.01318	6	北京市       	北京市县      	昌平县       
19:20.9	40.15815	116.0532	75.91708	16.75411	70.01949	6	北京市       	北京市县      	昌平县       
19:54.4	40.42834	115.9746	-27.71655	-7.095438	0	6	北京市       	北京市县      	延庆县       
19:54.4	40.42576	115.9445	-17.90899	-7.904655	0	5	北京市       	北京市县      	延庆县       
20:03.2	40.19046	116.0789	27.66655	8.853297	70.00738	6	北京市       	北京市县      	昌平县       
20:16.9	40.17755	116.1186	69.96441	12.26773	226.5526	6	北京市       	北京市县      	昌平县       
20:19.1	40.58653	116.3544	35.23838	5.500625	0	6	北京市       	北京市县      	延庆县       
20:56.9	40.30107	116.1761	108.3821	18.25382	69.96528	6	北京市       	北京市县      	昌平县       
21:17.6	39.86172	116.2272	44.52872	6.86708	70.13204	6	北京市       	北京市市辖区    	北京市市辖区    
